wavelength,n,k
2.000000000000000284e+02,1.315026799404992452e+00,8.981207440991996194e-01
2.034926805495214239e+02,1.499374446993726684e+00,8.693635921267099942e-01
2.070463551861477640e+02,1.671601065254589402e+00,7.612433869606235470e-01
2.106620890741874348e+02,1.693155261710461934e+00,6.197923712147210829e-01
2.143409659793422009e+02,1.703240217536191814e+00,5.224289361968321721e-01
2.180840885935505469e+02,1.656003179706756923e+00,4.603428265530367103e-01
2.218925788655044471e+02,1.591953530320828980e+00,4.420689305191087271e-01
2.257675783369378166e+02,1.545296271536922061e+00,4.515573472509870623e-01
2.297102484847876269e+02,1.517593115778331558e+00,4.851894673917598877e-01
2.337217710693303445e+02,1.520456484986808965e+00,5.368526055792647300e-01
2.378033484883979725e+02,1.549569508997161060e+00,5.937806313019973192e-01
2.419562041377803041e+02,1.601864024630854422e+00,6.424292632382211377e-01
2.461815827779205108e+02,1.681017298601370502e+00,6.731461170028127938e-01
2.504807509070146523e+02,1.799536741726661448e+00,6.753330562886780131e-01
2.548549971406267503e+02,1.881143302063428058e+00,6.403337814293629249e-01
2.593056325979336521e+02,1.954174062015224589e+00,5.577765945469134179e-01
2.638339912947143375e+02,1.989503993658059189e+00,4.547397400752948848e-01
2.684414305432025571e+02,1.981892582019505022e+00,3.715942244107722781e-01
2.731293313589221725e+02,1.947589056887978565e+00,3.148946753790853315e-01
2.778990988746275548e+02,1.914262809149956057e+00,2.862428035859465036e-01
2.827521627614721638e+02,1.891016442831092048e+00,2.679271929652634054e-01
2.876899776575326086e+02,1.878836107468770944e+00,2.517425201628022413e-01
2.927140236038160310e+02,1.876895551162362841e+00,2.388797622142186661e-01
2.978258064878819482e+02,1.876232587477488112e+00,2.223771103428737739e-01
3.030268584952106607e+02,1.876124752356788994e+00,2.017753089576984904e-01
3.083187385684545347e+02,1.869147567183204295e+00,1.665322763136552198e-01
3.137030328747094927e+02,1.856455085952876338e+00,1.608740673065075510e-01
3.191813552809462635e+02,1.843418357950619590e+00,1.588148212731183839e-01
3.247553478377444094e+02,1.829908200922129247e+00,1.572107784352370641e-01
3.304266812714740809e+02,1.816409711308317076e+00,1.559297427767129540e-01
3.361970554850728945e+02,1.803027171386717864e+00,1.548403677850523352e-01
3.420682000675681707e+02,1.789760977353134219e+00,1.538493782130037346e-01
3.480418748124970421e+02,1.776610533418705451e+00,1.529026788497542255e-01
3.541198702453797864e+02,1.763574624337166830e+00,1.519689514498629712e-01
3.603040081604050897e+02,1.750539708974054420e+00,1.509679742697648264e-01
3.665961421664872546e+02,1.737515129779113821e+00,1.498984937342352497e-01
3.729981582428594606e+02,1.724596750042858284e+00,1.488098768116782322e-01
3.795119753043700825e+02,1.711782667836645011e+00,1.476989910215460999e-01
3.861395457766500385e+02,1.699070951341893565e+00,1.465642387541917502e-01
3.928828561813256215e+02,1.686459663508470319e+00,1.454049250160378837e-01
3.997439277314501851e+02,1.675010876896590784e+00,1.443622324991387096e-01
4.067248169373347082e+02,1.671183522756166440e+00,1.438328815191073085e-01
4.138276162229579995e+02,1.668814072803060267e+00,1.433976026371869827e-01
4.210544545531415110e+02,1.666582103532202375e+00,1.429668427625898630e-01
4.284074980716769119e+02,1.664420430032611975e+00,1.425360142914921524e-01
4.358889507505971324e+02,1.662413794744768802e+00,1.421222523919074554e-01
4.435010550507865332e+02,1.660540194850855356e+00,1.417190176551547387e-01
4.512460925941268783e+02,1.658777547946657327e+00,1.413187965189465212e-01
4.591263848473819849e+02,1.657077157127102796e+00,1.409181910591882081e-01
4.671442938180245505e+02,1.655335691654330699e+00,1.405099340899207128e-01
4.753022227622150240e+02,1.653763082480300683e+00,1.402284257331212758e-01
4.836026169051442025e+02,1.652352757727615806e+00,1.399694991001609878e-01
4.920479641739553358e+02,1.651019775943749934e+00,1.397131622157748443e-01
5.006407959434650934e+02,1.649685838511602887e+00,1.394538795558407651e-01
5.093836877949081554e+02,1.648341292225491417e+00,1.389892690290955579e-01
5.182792602879318338e+02,1.647064517726654298e+00,1.383194976790654285e-01
5.273301797460716216e+02,1.645867041526765107e+00,1.376459681294534276e-01
5.365391590559452197e+02,1.644617827971302182e+00,1.369593311411061998e-01
5.459089584804014521e+02,1.643403203335729312e+00,1.363291983464615109e-01
5.554423864858712250e+02,1.642256287103706747e+00,1.357854723382562190e-01
5.651423005841656959e+02,1.641207000942310756e+00,1.352410020425649229e-01
5.750116081889759698e+02,1.640288967628179551e+00,1.346979258899928256e-01
5.850532674873292081e+02,1.639449983864393223e+00,1.342195874685584711e-01
5.952702883262637670e+02,1.638132280395137252e+00,1.337462217923332530e-01
6.056657331149891661e+02,1.635271849252048604e+00,1.331598406566960879e-01
6.162427177428006644e+02,1.634341928223788765e+00,1.327057950521762786e-01
6.270044125130229986e+02,1.634046474724671683e+00,1.325010731166700872e-01
6.379540430932644313e+02,1.633750299234250747e+00,1.322931527941372809e-01
6.490948914822662346e+02,1.633453391188800286e+00,1.320819797058126466e-01
6.604302969936352383e+02,1.633187626852602659e+00,1.319968641728033742e-01
6.719636572567563917e+02,1.632938671049216417e+00,1.319797478779493327e-01
6.836984292351858130e+02,1.632689755962829725e+00,1.319626258783701267e-01
6.956381302628261665e+02,1.632440881565529356e+00,1.319454983497141964e-01
7.077863390981981411e+02,1.632192047828759263e+00,1.319283654765123492e-01
7.201466969971239678e+02,1.631943254723287273e+00,1.319112274526361706e-01
7.327229088041433442e+02,1.631694502219170673e+00,1.318940844817772240e-01
7.455187440629881621e+02,1.631445790285716679e+00,1.318769367779537016e-01
7.585380381464500488e+02,1.631197118891444475e+00,1.318597845660413326e-01
7.717846934059808746e+02,1.630948488004043906e+00,1.318426280823319641e-01
7.852626803413676271e+02,1.630699897590331293e+00,1.318254675751212024e-01
7.989760387908341954e+02,1.630488665419243421e+00,1.318524469436153368e-01
8.129288791419260178e+02,1.630373815447922592e+00,1.319091699807420637e-01
8.271253835635419591e+02,1.630290759859863270e+00,1.319692374716659455e-01
8.415698072594806263e+02,1.630209316019885613e+00,1.320305653147643143e-01
8.562664797438787900e+02,1.630128191215383771e+00,1.320930838011255271e-01
8.712198061389217401e+02,1.630047391343087737e+00,1.321568142607975338e-01
8.864342684952174523e+02,1.629966922416356878e+00,1.322217784309775990e-01
9.019144271352295164e+02,1.629919529708167669e+00,1.324189053261661808e-01
9.176649220201691151e+02,1.629883156143722811e+00,1.326594652126510121e-01
9.336904741407585107e+02,1.629848047924146170e+00,1.329043570770089278e-01
9.499958869322824739e+02,1.629814232962008225e+00,1.331536580950141435e-01
9.665860477143505705e+02,1.629781739874187618e+00,1.334074468651424150e-01
9.834659291558037921e+02,1.629750308900403732e+00,1.336657835432623342e-01
1.000640590765200955e+03,1.629742714658666936e+00,1.339128609872759501e-01
1.018115180407336766e+03,1.629744125857295778e+00,1.341539260334070893e-01
1.035894935846242106e+03,1.629744467165986421e+00,1.343990607560746064e-01
1.053985186315131386e+03,1.629747042775083976e+00,1.346485655318578889e-01
1.072391354113764010e+03,1.629751898540652277e+00,1.349025166119983410e-01
1.091118956233703784e+03,1.629765622538420722e+00,1.351571179171953407e-01
1.110173606011961056e+03,1.629886512552955136e+00,1.353541384152977534e-01
1.129561014813511065e+03,1.630011660242783211e+00,1.355545100558077087e-01
1.149286993743194898e+03,1.630141143963580230e+00,1.357582853001296497e-01
1.169357455387518257e+03,1.630275043564761717e+00,1.359655173816341767e-01
1.189778415586866913e+03,1.630419533229813700e+00,1.361767080551523068e-01
1.210555995238669993e+03,1.630581834003944408e+00,1.363974713344946743e-01
1.231696422132052930e+03,1.630766904845460274e+00,1.366233644462112873e-01
1.253206032814531227e+03,1.630961425347922544e+00,1.368534104170485988e-01
1.275091274491301419e+03,1.631160659686747172e+00,1.370873131652725063e-01
1.297358706957702452e+03,1.631364695749991878e+00,1.373251333912984817e-01
1.320015004565419304e+03,1.631573623129784822e+00,1.375669327144188880e-01
1.343066958223028905e+03,1.631787533155979686e+00,1.378127736909548762e-01
1.366521477431480434e+03,1.632006518930386063e+00,1.380627198333377603e-01
1.390385592355121162e+03,1.632235694886583710e+00,1.383172326461206969e-01
1.414666455928888581e+03,1.632484648991294751e+00,1.385771387500202290e-01
1.439371346002304108e+03,1.632810854018916125e+00,1.389013028725814280e-01
1.464507667520907034e+03,1.633218914879417838e+00,1.393012794127315712e-01
1.490082954745782672e+03,1.633635182724664681e+00,1.397076116537914192e-01
1.516104873511852475e+03,1.634059817456011254e+00,1.401203887455164665e-01
1.542581223525599171e+03,1.634492982230815850e+00,1.405397007853807778e-01
1.569519940702922440e+03,1.634934843526315795e+00,1.409656388295409957e-01
1.596929099547817486e+03,1.635384600680553913e+00,1.413982432648183685e-01
1.624816915572594326e+03,1.635841160600969735e+00,1.418375415964452380e-01
1.653191747760362432e+03,1.636305860202667883e+00,1.422836970717617500e-01
1.682062101070521294e+03,1.636804683242486735e+00,1.427509254487295542e-01
1.711436628988001530e+03,1.637333667035453910e+00,1.432367810462626956e-01
