wavelength,n,k
3.800000000000000000e+02,nan,nan
3.821105527638191006e+02,nan,nan
3.842211055276382012e+02,nan,nan
3.863316582914573019e+02,nan,nan
3.884422110552764025e+02,nan,nan
3.905527638190955031e+02,nan,nan
3.926633165829145469e+02,nan,nan
3.947738693467336475e+02,nan,nan
3.968844221105527481e+02,nan,nan
3.989949748743718487e+02,nan,nan
4.011055276381909493e+02,1.610830351693583795e+00,2.065629199026059988e-04
4.032160804020100500e+02,1.609883807428615698e+00,2.070422466976724906e-04
4.053266331658291506e+02,1.608938221735190410e+00,2.078168957220132614e-04
4.074371859296482512e+02,1.607993537056835676e+00,2.088823871283030981e-04
4.095477386934673518e+02,1.607049700085712907e+00,2.102355422817246743e-04
4.116582914572864524e+02,1.606187873553390544e+00,2.118786875788332858e-04
4.137688442211054962e+02,1.605348951816806258e+00,2.138075943512679847e-04
4.158793969849245968e+02,1.604510744049202131e+00,2.160211890079154358e-04
4.179899497487436975e+02,1.603673210928497905e+00,2.185205645631730547e-04
4.201005025125627981e+02,1.602838124299439615e+00,2.213080731887903988e-04
4.222110552763818987e+02,1.602039806971974123e+00,2.243932224104110292e-04
4.243216080402009993e+02,1.601242064773687135e+00,2.277724542666882310e-04
4.264321608040200999e+02,1.600444869280551297e+00,2.314501132017485543e-04
4.285427135678392006e+02,1.599648194469166285e+00,2.354312270013615585e-04
4.306532663316583012e+02,1.598882055205732344e+00,2.397208999111270777e-04
4.327638190954774018e+02,1.598183402546161203e+00,2.443243119442762104e-04
4.348743718592965024e+02,1.597485208945264468e+00,2.492492299754546937e-04
4.369849246231156030e+02,1.596787457026185963e+00,2.545028411163472370e-04
4.390954773869346468e+02,1.596090131433611337e+00,2.600927520541116561e-04
4.412060301507537474e+02,1.595439033627997993e+00,2.660229510617910433e-04
4.433165829145728480e+02,1.594822700273071270e+00,2.723021957829051699e-04
4.454271356783919487e+02,1.594206761137589190e+00,2.789417916341346533e-04
4.475376884422110493e+02,1.593591208486929922e+00,2.859503558128026544e-04
4.496482412060301499e+02,1.592976036429919917e+00,2.933365994214532269e-04
4.517587939698492505e+02,1.592399924995545835e+00,3.011107612005618881e-04
4.538693467336683511e+02,1.591831925760514244e+00,3.092798527708495184e-04
4.559798994974873949e+02,1.591264301473592990e+00,3.178520102958308979e-04
4.580904522613064955e+02,1.590697053347146950e+00,3.268354673188259268e-04
4.602010050251255961e+02,1.590127571747098179e+00,3.362388696240751042e-04
4.623115577889446968e+02,1.589533654095498072e+00,3.460762457280058260e-04
4.644221105527637974e+02,1.588940125785292201e+00,3.563475425441649442e-04
4.665326633165828980e+02,1.588346994744646468e+00,3.670590417876671684e-04
4.686432160804019986e+02,1.587754270479394325e+00,3.782162604666719518e-04
4.707537688442210992e+02,1.587201154887700083e+00,3.898142432734013610e-04
4.728643216080401999e+02,1.586719014826638574e+00,4.018478113409487337e-04
4.749748743718593005e+02,1.586237321353867413e+00,4.143361342747241640e-04
4.770854271356784011e+02,1.585756089595478535e+00,4.272803987714603939e-04
4.791959798994975017e+02,1.585275335906086047e+00,4.406804334327346791e-04
4.813065326633166023e+02,1.584831657854338216e+00,4.545293554488593767e-04
4.834170854271357030e+02,1.584411005607305745e+00,4.688250664719915105e-04
4.855276381909547467e+02,1.583990887907184675e+00,4.835655936075614709e-04
4.876381909547738474e+02,1.583571324848633388e+00,4.987441300891604394e-04
4.897487437185929480e+02,1.583152337135226739e+00,5.143519578812319297e-04
4.918592964824120486e+02,1.582732086679746741e+00,5.303696805538137601e-04
4.939698492462311492e+02,1.582312202870219675e+00,5.467920337425228195e-04
4.960804020100502498e+02,1.581892958476348365e+00,5.636052271710013115e-04
4.981909547738693504e+02,1.581474374917649861e+00,5.807920779194099704e-04
5.003015075376884511e+02,1.581059186863550847e+00,5.983342259815437611e-04
5.024120603015074948e+02,1.580660982832940986e+00,6.162151149110073941e-04
5.045226130653265955e+02,1.580263501377155544e+00,6.344039923752366368e-04
5.066331658291456961e+02,1.579866761313388768e+00,6.528745063888483991e-04
5.087437185929647967e+02,1.579470780232281824e+00,6.715980342029463862e-04
5.108542713567838973e+02,1.579097785826683253e+00,6.905306187662865443e-04
5.129648241206029979e+02,1.578758245298295559e+00,7.096321497532197785e-04
5.150753768844220986e+02,1.578419507059703797e+00,7.288864369897744312e-04
5.171859296482411992e+02,1.578081581242009923e+00,7.482564666373059305e-04
5.192964824120602998e+02,1.577744475512544264e+00,7.677034301400646309e-04
5.214070351758794004e+02,1.577434929503387595e+00,7.871721666979800093e-04
5.235175879396985010e+02,1.577139577988214691e+00,8.066273386360904964e-04
5.256281407035176017e+02,1.576845052454922458e+00,8.260330624811631443e-04
5.277386934673367023e+02,1.576551348326876933e+00,8.453452937901789841e-04
5.298492462311558029e+02,1.576258457453197481e+00,8.645192940679953314e-04
5.319597989949747898e+02,1.575925210560040091e+00,8.835310053233060403e-04
5.340703517587940041e+02,1.575589583344530586e+00,9.023167830068044805e-04
5.361809045226129911e+02,1.575254721929053137e+00,9.208300724494662172e-04
5.382914572864322054e+02,1.574920602290938110e+00,9.390265301853936665e-04
5.404020100502511923e+02,1.574596442630282311e+00,9.568576219875071570e-04
5.425125628140704066e+02,1.574312261255580214e+00,9.742638771424270028e-04
5.446231155778893935e+02,1.574028723237835159e+00,9.912269939512669947e-04
5.467336683417084942e+02,1.573745787016961106e+00,1.007709304212114345e-03
5.488442211055275948e+02,1.573463406633158979e+00,1.023675937242546959e-03
5.509547738693466954e+02,1.573179622212885986e+00,1.039101348426965405e-03
