wavelength,n,k
1.999999999999999147e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.023182224447659507e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.046633156660488453e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.070355911260352002e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.094353638971040539e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.118629527036738978e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.143186799645341978e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.168028718356660249e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.193158582535618848e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.218579729790445469e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.244295536415959020e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.270309417841997401e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.296624829087022306e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.323245265217002498e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.350174261809614507e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.377415395423806785e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.404972284074823392e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.432848587714735515e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.461048008718521487e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.489574292375811524e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.518431227388301750e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.547622646372955444e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.577152426371035290e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.607024489363017778e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.637242802789495499e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.667811380078117054e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.698734281176610921e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.730015613092026570e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.761659530436184582e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.793670235977477887e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.826051981199066745e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.858809066863522048e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.891945843584037448e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.925466712402259191e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.959376125372790511e+02,1.611357465882089723e+00,6.572137620073755211e-07
2.993678586154509844e+02,1.611357465882089723e+00,6.572137620073755211e-07
3.028378650608703424e+02,1.611357465882089723e+00,6.572137620073755211e-07
3.063480927404157796e+02,1.611357465882089723e+00,6.572137620073755211e-07
3.098990078629262257e+02,1.611357465882089723e+00,6.572137620073755211e-07
3.134910820411190002e+02,1.609864752559488910e+00,6.572137620073755211e-07
3.171247923542272247e+02,1.608311054384836680e+00,6.572137620073755211e-07
3.208006214113639203e+02,1.606739347120279549e+00,6.572137620073755211e-07
3.245190574156174534e+02,1.605322056763173189e+00,6.572137620073755211e-07
3.282805942288931647e+02,1.604063943441812023e+00,6.572137620073755211e-07
3.320857314375058422e+02,1.602856875015159499e+00,6.572137620073755211e-07
3.359349744185303734e+02,1.601635815322911549e+00,6.572137620073755211e-07
3.398288344069250684e+02,1.600400602190738875e+00,6.572137620073755211e-07
3.437678285634290773e+02,1.599151071564530957e+00,6.572137620073755211e-07
3.477524800432498751e+02,1.597887057488607265e+00,6.572137620073755211e-07
3.517833180655464389e+02,1.596624170695317035e+00,6.572137620073755211e-07
3.558608779837154543e+02,1.595570263717793091e+00,6.572137620073755211e-07
3.599857013564950989e+02,1.594589716885893127e+00,6.572137620073755211e-07
3.641583360198924311e+02,1.593597804425623821e+00,6.572137620073755211e-07
3.683793361599422269e+02,1.592594394596711371e+00,6.572137620073755211e-07
3.726492623863118183e+02,1.591579354131865465e+00,6.572137620073755211e-07
3.769686818067590366e+02,1.590552548219079876e+00,6.572137620073755211e-07
3.813381681024501404e+02,1.589513840483727014e+00,6.572137620073755211e-07
3.857583016041554060e+02,1.588740889392061595e+00,6.592746878943817269e-07
3.902296693693232896e+02,1.588312408446564294e+00,6.618546988002740379e-07
3.947528652600508394e+02,1.587941779282708410e+00,6.645437658349579559e-07
3.993284900219586007e+02,1.587566854114620618e+00,6.672640021474184803e-07
4.039571513639756972e+02,1.587187583146834280e+00,6.700157690242521066e-07
4.086394640390539053e+02,1.586803916006696902e+00,6.727994319397686455e-07
4.133760499258163463e+02,1.586415801737681486e+00,6.757539822409858413e-07
4.181675381111500656e+02,1.585989273992739701e+00,6.795387500041222719e-07
4.230145649737588087e+02,1.585239809692613466e+00,6.862458571385538381e-07
4.279177742686842976e+02,1.584378417220623225e+00,6.930307071044783141e-07
4.328778172128037909e+02,1.583504036323714503e+00,6.998942010277791816e-07
4.378953525713239969e+02,1.582619520379703104e+00,7.068372504793930918e-07
4.429710467452718490e+02,1.581724751912120697e+00,7.138607775963762847e-07
4.481055738600034033e+02,1.580819612082816406e+00,7.209657152043790947e-07
4.532996158547384766e+02,1.579909916014646809e+00,7.289220179703442711e-07
4.585538625731294360e+02,1.579027643064264685e+00,7.388740768631997493e-07
4.638690118548852865e+02,1.578229400391053305e+00,7.505194373306877464e-07
4.692457696284524786e+02,1.577421905197435192e+00,7.622997804782416174e-07
4.746848500047733523e+02,1.576605050236407513e+00,7.742166709052537015e-07
4.801869753721302345e+02,1.575778727017856040e+00,7.862716913465637475e-07
4.857528764920900812e+02,1.574942825794145351e+00,7.984664428826702569e-07
4.913832925965577374e+02,1.574097235545542484e+00,8.108025451523725996e-07
4.970789714859595847e+02,1.573347095949164665e+00,8.254963476321982442e-07
5.028406696285593966e+02,1.572790750840154406e+00,8.430660098769213185e-07
5.086691522609294225e+02,1.572387065364502234e+00,8.612432471119850355e-07
5.145651934895863633e+02,1.571978700725198630e+00,8.796311787437608184e-07
5.205295763938005393e+02,1.571565602685532470e+00,8.982322469546433067e-07
