wavelength,n,k
2.000000000000000284e+02,1.239644369310792582e+00,9.791026442603939506e-01
2.034926805495214239e+02,1.472714670910781010e+00,9.438623040840425915e-01
2.070463551861477640e+02,1.689586964745162678e+00,8.057087856149625082e-01
2.106620890741874348e+02,1.713473290344716071e+00,6.243846407020247069e-01
2.143409659793422009e+02,1.724258497208186247e+00,4.992785354877406490e-01
2.180840885935505469e+02,1.661472479139753711e+00,4.185446164694822113e-01
2.218925788655044471e+02,1.577865692587826052e+00,3.938874512695501595e-01
2.257675783369378166e+02,1.517359915227370459e+00,4.036198360439280375e-01
2.297102484847876269e+02,1.480672745937963386e+00,4.429323702674899943e-01
2.337217710693303445e+02,1.482381453676874017e+00,5.040859322233566253e-01
2.378033484883979725e+02,1.516233479347569135e+00,5.716575300976944884e-01
2.419562041377803041e+02,1.578414145066580065e+00,6.290542436549413363e-01
2.461815827779205108e+02,1.673529008572286259e+00,6.643295341718760127e-01
2.504807509070146523e+02,1.823070139146440116e+00,6.652836188067517975e-01
2.548549971406267503e+02,1.920800481687411576e+00,6.209707926861581795e-01
2.593056325979336521e+02,2.011344757333498379e+00,5.144001941494549257e-01
2.638339912947143375e+02,2.052878597843316832e+00,3.805696605626941453e-01
2.684414305432025571e+02,2.038580712844895615e+00,2.737217179653232413e-01
2.731293313589221725e+02,1.989019095515416113e+00,2.006677681890124965e-01
2.778990988746275548e+02,1.941947296595107009e+00,1.653332178754213788e-01
2.827521627614721638e+02,1.908252273557947465e+00,1.424778356658187584e-01
2.876899776575326086e+02,1.888658817222675035e+00,1.214035701443785531e-01
2.927140236038160310e+02,1.882927162052458359e+00,1.051712845251749767e-01
2.978258064878819482e+02,1.878671263508165712e+00,8.361529310141101179e-02
3.030268584952106607e+02,1.877783769878152986e+00,5.863250482763991689e-02
3.083187385684545347e+02,1.866112732747640779e+00,8.221006431971943779e-03
3.137030328747094927e+02,1.847902699211548594e+00,4.772579572508608113e-03
3.191813552809462635e+02,1.829870364115409487e+00,2.770648090888647424e-03
3.247553478377444094e+02,1.812013993429711256e+00,1.608457381782306276e-03
3.304266812714740809e+02,1.794331870046072419e+00,9.337653372573205155e-04
3.361970554850728945e+02,1.776822293612119186e+00,5.420831878660783325e-04
3.420682000675681707e+02,1.759483580367977584e+00,3.146981054470984014e-04
3.480418748124970421e+02,1.742314062984358092e+00,1.826931729092099203e-04
3.541198702453797864e+02,1.725312090402222109e+00,1.060597278786134026e-04
3.603040081604050897e+02,1.708476027674012521e+00,6.157135320691808336e-05
3.665961421664872546e+02,1.691804255806433455e+00,3.574430758553284471e-05
3.729981582428594606e+02,1.675295171604763711e+00,2.075081118447177992e-05
3.795119753043700825e+02,1.658947187518690969e+00,1.204656612198241869e-05
3.861395457766500385e+02,1.642758731489648572e+00,6.993449751973568217e-06
3.928828561813256215e+02,1.626728246799643340e+00,4.059940313126406850e-06
3.997439277314501851e+02,1.610854191921557987e+00,2.356936266182128060e-06
4.067248169373347082e+02,1.607364348564088274e+00,2.094548540163353185e-06
4.138276162229579995e+02,1.604483750628015848e+00,1.901876421161497917e-06
4.210544545531415110e+02,1.601734651264376197e+00,1.741971408035997258e-06
4.284074980716769119e+02,1.599052015229048385e+00,1.617161094007565336e-06
4.358889507505971324e+02,1.596591132802124502e+00,1.525183364764397925e-06
4.435010550507865332e+02,1.594295856542516043e+00,1.451960023143212059e-06
4.512460925941268783e+02,1.592146970055473343e+00,1.396255512669578336e-06
4.591263848473819849e+02,1.590103911960566441e+00,1.372778523998017130e-06
4.671442938180245505e+02,1.587936520479555691e+00,1.355708746471269185e-06
4.753022227622150240e+02,1.585993310490555031e+00,1.339392628437080418e-06
4.836026169051442025e+02,1.584268094849131669e+00,1.337205785432579942e-06
4.920479641739553358e+02,1.582644534239707967e+00,1.343849688513526839e-06
5.006407959434650934e+02,1.580993633749929073e+00,1.323855998577446274e-06
5.093836877949081554e+02,1.579387499357647995e+00,1.356890927291891468e-06
5.182792602879318338e+02,1.577961714795582893e+00,1.360000000000001167e-06
5.273301797460716216e+02,1.576671089470026654e+00,1.352669671600869688e-06
5.365391590559452197e+02,1.575253578959839196e+00,1.336918358209971165e-06
5.459089584804014521e+02,1.573890379191299038e+00,1.324090120956806834e-06
5.554423864858712250e+02,1.572573479936168583e+00,1.341769034181022290e-06
5.651423005841656959e+02,1.571384554643929343e+00,1.380567451473514021e-06
5.750116081889759698e+02,1.570393840942303720e+00,1.394987224691721636e-06
5.850532674873292081e+02,1.569480182300852844e+00,1.384945543257197110e-06
5.952702883262637670e+02,1.568549788981837834e+00,1.332532681814621039e-06
6.056657331149891661e+02,1.563700448521992081e+00,1.243511368235608761e-06
6.162427177428006644e+02,1.563385451471207555e+00,1.307472227778471691e-06
6.270044125130229986e+02,1.563070517874482812e+00,1.374722957971465155e-06
6.379540430932644313e+02,1.562755647719035856e+00,1.445432775566398175e-06
6.490948914822662346e+02,1.562440840992086244e+00,1.519779601094684151e-06
6.604302969936352383e+02,1.562126097680857528e+00,1.597950506552230139e-06
6.719636572567563917e+02,1.561811417772574373e+00,1.680142186111261534e-06
6.836984292351858130e+02,1.561496801254464994e+00,1.766561451043578555e-06
6.956381302628261665e+02,1.561182248113759830e+00,1.857425750100497725e-06
7.077863390981981411e+02,1.560867758337691757e+00,1.952963716658890696e-06
7.201466969971239678e+02,1.560553331913496544e+00,2.053415744010086938e-06
7.327229088041433442e+02,1.560238968828412620e+00,2.159034590239125347e-06
7.455187440629881621e+02,1.559924669069680192e+00,2.270086014216378762e-06
7.585380381464500488e+02,1.559610432624542797e+00,2.386849444301890546e-06
7.717846934059808746e+02,1.559296259480246638e+00,2.509618681444906572e-06
