wavelength,n,k
3.800000000000000000e+02,nan,nan
3.821105527638191006e+02,nan,nan
3.842211055276382012e+02,nan,nan
3.863316582914573019e+02,nan,nan
3.884422110552764025e+02,nan,nan
3.905527638190955031e+02,nan,nan
3.926633165829145469e+02,nan,nan
3.947738693467336475e+02,nan,nan
3.968844221105527481e+02,nan,nan
3.989949748743718487e+02,nan,nan
4.011055276381909493e+02,1.617149199746616306e+00,7.415652078877777581e-04
4.032160804020100500e+02,1.616080089016679988e+00,7.427674291154317448e-04
4.053266331658291506e+02,1.615014663504088510e+00,7.449982902951720947e-04
4.074371859296482512e+02,1.613952733587634247e+00,7.482620114821497302e-04
4.095477386934673518e+02,1.612894121466367015e+00,7.525668198263653005e-04
4.116582914572864524e+02,1.611919583851503468e+00,7.579017526526092433e-04
4.137688442211054962e+02,1.610970127169447652e+00,7.642987342571913503e-04
4.158793969849245968e+02,1.610023537094942725e+00,7.717834136699842874e-04
4.179899497487436975e+02,1.609079677229990901e+00,7.803788457441939450e-04
4.201005025125627981e+02,1.608140222942328501e+00,7.901113375426813308e-04
4.222110552763818987e+02,1.607239302190702102e+00,8.010052687095620128e-04
4.243216080402009993e+02,1.606340764595223236e+00,8.130993570833626232e-04
4.264321608040200999e+02,1.605444510445596773e+00,8.264301229425690624e-04
4.285427135678392006e+02,1.604550448893835135e+00,8.410371851958293662e-04
4.306532663316583012e+02,1.603688446465641571e+00,8.569510434193758439e-04
4.327638190954774018e+02,1.602895298981338534e+00,8.742007783712111256e-04
4.348743718592965024e+02,1.602104138410326728e+00,8.928602771404599812e-04
4.369849246231156030e+02,1.601314909013575871e+00,9.129795076900249634e-04
4.390954773869346468e+02,1.600527564098582767e+00,9.346104778388649370e-04
4.412060301507537474e+02,1.599787756427670793e+00,9.577832105780883067e-04
4.433165829145728480e+02,1.599084043747523332e+00,9.825567291554546459e-04
4.454271356783919487e+02,1.598382141697580305e+00,1.009004082366473862e-03
4.475376884422110493e+02,1.597682040883494192e+00,1.037181514944652758e-03
4.496482412060301499e+02,1.596983741674813162e+00,1.067145220971119687e-03
4.517587939698492505e+02,1.596325843289791324e+00,1.098933007505607535e-03
4.538693467336683511e+02,1.595677500177685948e+00,1.132611575871949900e-03
4.559798994974873949e+02,1.595031025270684299e+00,1.168236517017373155e-03
4.580904522613064955e+02,1.594386458940067808e+00,1.205857329392918823e-03
4.602010050251255961e+02,1.593741245051695232e+00,1.245522251630435664e-03
4.623115577889446968e+02,1.593073285982771869e+00,1.287292739341096151e-03
4.644221105527637974e+02,1.592407414005332589e+00,1.331184708065003778e-03
4.665326633165828980e+02,1.591743709487776659e+00,1.377228505733792824e-03
4.686432160804019986e+02,1.591082262239384315e+00,1.425447329234082747e-03
4.707537688442210992e+02,1.590462281590073745e+00,1.475819967086951495e-03
4.728643216080401999e+02,1.589915170933120070e+00,1.528318324098180015e-03
4.749748743718593005e+02,1.589370649941379998e+00,1.583000652983037422e-03
4.770854271356784011e+02,1.588828840592885205e+00,1.639851011051952001e-03
4.791959798994975017e+02,1.588289871169194178e+00,1.698841289122274929e-03
4.813065326633166023e+02,1.587790387149276450e+00,1.759895046378941522e-03
4.834170854271357030e+02,1.587316487367235185e+00,1.822966785938123909e-03
4.855276381909547467e+02,1.586845844366655989e+00,1.888007069882351781e-03
4.876381909547738474e+02,1.586378600101397751e+00,1.954930142151188512e-03
4.897487437185929480e+02,1.585914896594851964e+00,2.023634123091389795e-03
4.918592964824120486e+02,1.585453018281052673e+00,2.093993697710395691e-03
4.939698492462311492e+02,1.584994707518764923e+00,2.165879528735656714e-03
4.960804020100502498e+02,1.584540347345270161e+00,2.239140016222401601e-03
4.981909547738693504e+02,1.584090063083357869e+00,2.313605515453457523e-03
5.003015075376884511e+02,1.583646680348956837e+00,2.389087490944817593e-03
5.024120603015074948e+02,1.583223850920601805e+00,2.465371932593194999e-03
5.045226130653265955e+02,1.582805413229496860e+00,2.542250939088911473e-03
5.066331658291456961e+02,1.582391445325791013e+00,2.619490484930918697e-03
5.087437185929647967e+02,1.581982008604805090e+00,2.696842574546052737e-03
5.108542713567838973e+02,1.581599322321060708e+00,2.774004252365135353e-03
5.129648241206029979e+02,1.581253845555805393e+00,2.850680038400784690e-03
5.150753768844220986e+02,1.580912966512906248e+00,2.926649373021031949e-03
5.171859296482411992e+02,1.580576661961994089e+00,3.001623713162582079e-03
5.192964824120602998e+02,1.580244883929480704e+00,3.075309276209432091e-03
5.214070351758794004e+02,1.579944250686629692e+00,3.147354825399380131e-03
5.235175879396985010e+02,1.579661315115299391e+00,3.217487570861197500e-03
5.256281407035176017e+02,1.579382602788101941e+00,3.285439503735107254e-03
5.277386934673367023e+02,1.579107957616576963e+00,3.350920975434550260e-03
5.298492462311558029e+02,1.578837195637386337e+00,3.413650195259488544e-03
5.319597989949747898e+02,1.578529015903992194e+00,3.473444536143421770e-03
5.340703517587940041e+02,1.578221109789918586e+00,3.529968066050413918e-03
5.361809045226129911e+02,1.577916373052337118e+00,3.582972954317674603e-03
5.382914572864322054e+02,1.577614515302660614e+00,3.632237418231131117e-03
5.404020100502511923e+02,1.577324452616799100e+00,3.677540706564926334e-03
5.425125628140704066e+02,1.577075845764688955e+00,3.718637855104919929e-03
5.446231155778893935e+02,1.576829106867277730e+00,3.755470365615272334e-03
5.467336683417084942e+02,1.576583860296425721e+00,3.787920900858965292e-03
5.488442211055275948e+02,1.576339714582323914e+00,3.815904067360824121e-03
5.509547738693466954e+02,1.576094359002322642e+00,3.839377823133218858e-03
