wavelength,n,k
2.000000000000000284e+02,1.239644369310794580e+00,9.791026442603938396e-01
2.034926805495214239e+02,1.479835173488708522e+00,9.443223344393080199e-01
2.070463551861477640e+02,1.649024064011255231e+00,8.031253509958254932e-01
2.106620890741874348e+02,1.713453469988496902e+00,6.244094242198897637e-01
2.143409659793422009e+02,1.724598792743172959e+00,4.990999892649132241e-01
2.180840885935505469e+02,1.661807864460101536e+00,4.186101677316022007e-01
2.218925788655044471e+02,1.577761158415838416e+00,3.938827929233499336e-01
2.257675783369378166e+02,1.517387894816631722e+00,4.036406048788058198e-01
2.297102484847876269e+02,1.480546401264448919e+00,4.429642020523810175e-01
2.337217710693303445e+02,1.481594137161247771e+00,5.040465028603196007e-01
2.378033484883979725e+02,1.516230952239174146e+00,5.716953550434688003e-01
2.419562041377803041e+02,1.577657525080260470e+00,6.289677757820291149e-01
2.461815827779205108e+02,1.673541092691982479e+00,6.643292856202314134e-01
2.504807509070146523e+02,1.823820757601219533e+00,6.657169270334966082e-01
2.548549971406267503e+02,1.920588038809525111e+00,6.210011639765524727e-01
2.593056325979336521e+02,2.011940783118415066e+00,5.148394215184494138e-01
2.638339912947143375e+02,2.052890284813747801e+00,3.808109525671768969e-01
2.684414305432025571e+02,2.038598704826533492e+00,2.738817179562204052e-01
2.731293313589221725e+02,1.989024965124508437e+00,2.007102767870713178e-01
2.778990988746275548e+02,1.941916995640356580e+00,1.652776303042323702e-01
2.827521627614721638e+02,1.908075222310545715e+00,1.424673139261864174e-01
2.876899776575326086e+02,1.888490350014087937e+00,1.214148770417049911e-01
2.927140236038160310e+02,1.882927260524260848e+00,1.051836887830129019e-01
2.978258064878819482e+02,1.878627200354804794e+00,8.364267174033576668e-02
3.030268584952106607e+02,1.878031618664888880e+00,5.923547015751279982e-02
3.083187385684545347e+02,1.622751415974761580e+00,3.072071656966890614e-03
3.137030328747094927e+02,1.619985866836670452e+00,2.231426274455697214e-03
3.191813552809462635e+02,1.616279323208156482e+00,1.517514267507068118e-03
3.247553478377444094e+02,1.612953305192413422e+00,1.110828436877791875e-03
3.304266812714740809e+02,1.610159286090852904e+00,8.744312231682681031e-04
3.361970554850728945e+02,1.607580573603526908e+00,7.182096162314091431e-04
3.420682000675681707e+02,1.605103701338453925e+00,6.102948245897671766e-04
3.480418748124970421e+02,1.602693726126092510e+00,5.331367307380060474e-04
3.541198702453797864e+02,1.600486362857683975e+00,4.765481830113059035e-04
3.603040081604050897e+02,1.598570504782737212e+00,4.344284428237280937e-04
3.665961421664872546e+02,1.596721844329000328e+00,4.038494864242518590e-04
3.729981582428594606e+02,1.594884581246682753e+00,3.826763901933293954e-04
3.795119753043700825e+02,1.593049727361836476e+00,3.698547249517596743e-04
3.861395457766500385e+02,1.591603877858949856e+00,3.653420783653582018e-04
3.928828561813256215e+02,1.590695881033213244e+00,3.690973886823800980e-04
3.997439277314501851e+02,1.589899713318449814e+00,3.825191457179776162e-04
4.067248169373347082e+02,1.589113757468503696e+00,4.073302679422187780e-04
4.138276162229579995e+02,1.588324900212695123e+00,4.459723967049592386e-04
4.210544545531415110e+02,1.587288074314289199e+00,4.991946947097877481e-04
4.284074980716769119e+02,1.585912145965617137e+00,5.638591478318254451e-04
4.358889507505971324e+02,1.584470996953445621e+00,6.297062759961904793e-04
4.435010550507865332e+02,1.583023654302343708e+00,6.864981250292998601e-04
4.512460925941268783e+02,1.581565344158337050e+00,7.314240133962513889e-04
4.591263848473819849e+02,1.580153565282501615e+00,7.687691999730301984e-04
4.671442938180245505e+02,1.578820841626040306e+00,8.095466654016794661e-04
4.753022227622150240e+02,1.577476442294156955e+00,8.708094969592070252e-04
4.836026169051442025e+02,1.576113514457168518e+00,9.602256611941083512e-04
4.920479641739553358e+02,1.574779102643437234e+00,1.081510145675611918e-03
5.006407959434650934e+02,1.573706084392030302e+00,1.228700459467378528e-03
5.093836877949081554e+02,1.572998264191140860e+00,1.393001157445781721e-03
5.182792602879318338e+02,1.572403011427642383e+00,1.560487516624817954e-03
5.273301797460716216e+02,1.571857078125249219e+00,1.708738642269579111e-03
5.365391590559452197e+02,1.571343082684367953e+00,1.821979122180192442e-03
5.459089584804014521e+02,1.570722733798576742e+00,1.881697705506195448e-03
5.554423864858712250e+02,1.569984318163522907e+00,1.886703644150467332e-03
5.651423005841656959e+02,1.569184157559236237e+00,1.836086574533074989e-03
5.750116081889759698e+02,1.568328826014041111e+00,1.746854969892534283e-03
5.850532674873292081e+02,1.567371880249650351e+00,1.642065988451203978e-03
5.952702883262637670e+02,1.566060128876144208e+00,1.550658236540245405e-03
6.056657331149891661e+02,1.564363640887254103e+00,1.508292102534423062e-03
6.162427177428006644e+02,1.562557861210906784e+00,1.533460801492037397e-03
6.270044125130229986e+02,1.560804259349757306e+00,1.645030040607381840e-03
6.379540430932644313e+02,1.560054675195299057e+00,1.812242414508427515e-03
6.490948914822662346e+02,1.560354128928911122e+00,1.945690127284120663e-03
6.604302969936352383e+02,1.560945450390350819e+00,1.958696574527720325e-03
6.719636572567563917e+02,1.561542007255255715e+00,1.781764572589636863e-03
6.836984292351858130e+02,1.562047108166923826e+00,1.466293243358676333e-03
6.956381302628261665e+02,1.562385761619286217e+00,1.101055581495153550e-03
7.077863390981981411e+02,1.562558439144304367e+00,7.741849403989746470e-04
7.201466969971239678e+02,1.562504992166594553e+00,5.455680490882270457e-04
7.327229088041433442e+02,1.562392168663756964e+00,3.931127784763360604e-04
7.455187440629881621e+02,1.562293176266423833e+00,2.969081660598056876e-04
7.585380381464500488e+02,1.562210364066906498e+00,2.330193432110205028e-04
7.717846934059808746e+02,1.561920509599147078e+00,1.897143472097398886e-04
7.852626803413676271e+02,1.561190862702112048e+00,1.583073557827623015e-04
7.989760387908341954e+02,1.560275519850815140e+00,1.351694311006932357e-04
8.129288791419260178e+02,1.559333500894809044e+00,1.170287687062662350e-04
8.271253835635419591e+02,1.558385864637456653e+00,1.026025108650527665e-04
8.415698072594806263e+02,1.557687749862797455e+00,9.076811260574673063e-05
8.562664797438787900e+02,1.557714569942005856e+00,8.100800398354738641e-05
8.712198061389217401e+02,1.557975827428316862e+00,7.280421726168375784e-05
8.864342684952174523e+02,1.558246834774310141e+00,6.596188228192299049e-05
9.019144271352295164e+02,1.558521665216282326e+00,6.013525165300909956e-05
9.176649220201691151e+02,1.558678280047202547e+00,5.517020678254695222e-05
9.336904741407585107e+02,1.558626440018883175e+00,5.087375285576226151e-05
9.499958869322824739e+02,1.558484331719322435e+00,4.717758745444125166e-05
9.665860477143505705e+02,1.558331502784404909e+00,4.398922529518841117e-05
9.834659291558037921e+02,1.558178671722832087e+00,4.124801535923760626e-05
1.000640590765200955e+03,1.557996467332725343e+00,3.885109815212493465e-05
1.018115180407336766e+03,1.557767664457781365e+00,3.675425861229904327e-05
