wavelength,n,k
3.800000000000000000e+02,nan,nan
3.821105527638191006e+02,nan,nan
3.842211055276382012e+02,nan,nan
3.863316582914573019e+02,nan,nan
3.884422110552764025e+02,nan,nan
3.905527638190955031e+02,nan,nan
3.926633165829145469e+02,nan,nan
3.947738693467336475e+02,nan,nan
3.968844221105527481e+02,nan,nan
3.989949748743718487e+02,nan,nan
4.011055276381909493e+02,1.609822475811127473e+00,1.509268362510351189e-04
4.032160804020100500e+02,1.608903054745861372e+00,1.548581656211417607e-04
4.053266331658291506e+02,1.607983854394708922e+00,1.590660632665061541e-04
4.074371859296482512e+02,1.607064872483342066e+00,1.635886795002257192e-04
4.095477386934673518e+02,1.606146120062991844e+00,1.684726083486612369e-04
4.116582914572864524e+02,1.605308884230765010e+00,1.737768925455042998e-04
4.137688442211054962e+02,1.604494126697603829e+00,1.795496913866717484e-04
4.158793969849245968e+02,1.603679774903707722e+00,1.858328739127517674e-04
4.179899497487436975e+02,1.602865950185913491e+00,1.926456056368956108e-04
4.201005025125627981e+02,1.602054610289741721e+00,1.999650319578447912e-04
4.222110552763818987e+02,1.601280288128829499e+00,2.077153374153969728e-04
4.243216080402009993e+02,1.600506948233268334e+00,2.157356471506245319e-04
4.264321608040200999e+02,1.599734689202330973e+00,2.238046993158297456e-04
4.285427135678392006e+02,1.598963529288231600e+00,2.316523735253626557e-04
4.306532663316583012e+02,1.598223434245320096e+00,2.389954049532181052e-04
4.327638190954774018e+02,1.597551197041326754e+00,2.455843612689909855e-04
4.348743718592965024e+02,1.596879500245673045e+00,2.512532784337126110e-04
4.369849246231156030e+02,1.596208016820879871e+00,2.559499018669709135e-04
4.390954773869346468e+02,1.595536426667207852e+00,2.597466427870834238e-04
4.412060301507537474e+02,1.594910298233773283e+00,2.628203377288580982e-04
4.433165829145728480e+02,1.594318007596963405e+00,2.654230593513296605e-04
4.454271356783919487e+02,1.593725125075208249e+00,2.678316021707718552e-04
4.475376884422110493e+02,1.593131693332578980e+00,2.702971186967296547e-04
4.496482412060301499e+02,1.592537828418511214e+00,2.730155069888461289e-04
4.517587939698492505e+02,1.591982380232248584e+00,2.761145986395150678e-04
4.538693467336683511e+02,1.591434556893518426e+00,2.796495158891249629e-04
4.559798994974873949e+02,1.590886767262714052e+00,2.836208965249152852e-04
4.580904522613064955e+02,1.590339130220873587e+00,2.879917109010887298e-04
4.602010050251255961e+02,1.589789119024275443e+00,2.927048893600900435e-04
4.623115577889446968e+02,1.589214578773051390e+00,2.977015674846542536e-04
4.644221105527637974e+02,1.588640367147965859e+00,3.029126309893417934e-04
4.665326633165828980e+02,1.588066500216797960e+00,3.082820315200011821e-04
4.686432160804019986e+02,1.587492983019894499e+00,3.137619649966618633e-04
4.707537688442210992e+02,1.586959010893769451e+00,3.193047085819755021e-04
4.728643216080401999e+02,1.586495936165775111e+00,3.248703296050583058e-04
4.749748743718593005e+02,1.586033197696593566e+00,3.304449376308719747e-04
4.770854271356784011e+02,1.585570788065861603e+00,3.360048099266866348e-04
4.791959798994975017e+02,1.585108699707115099e+00,3.415292186684769100e-04
4.813065326633166023e+02,1.584683508607623414e+00,3.469968753904870639e-04
4.834170854271357030e+02,1.584281136578260973e+00,3.523915855672903703e-04
4.855276381909547467e+02,1.583879063221615757e+00,3.576992560308614477e-04
4.876381909547738474e+02,1.583477281067893649e+00,3.629051027728633083e-04
4.897487437185929480e+02,1.583075782533061693e+00,3.679950761645873081e-04
4.918592964824120486e+02,1.582672700536525090e+00,3.729468750506558807e-04
4.939698492462311492e+02,1.582269635115316264e+00,3.777552614170254144e-04
4.960804020100502498e+02,1.581866829199741087e+00,3.824089997842215999e-04
4.981909547738693504e+02,1.581464274114437352e+00,3.868961115993542325e-04
5.003015075376884511e+02,1.581064674355842747e+00,3.912065062103880142e-04
5.024120603015074948e+02,1.580681588149733141e+00,3.953362503290940261e-04
5.045226130653265955e+02,1.580298724259875387e+00,3.992660365836660642e-04
5.066331658291456961e+02,1.579916072384342840e+00,4.029857310739840296e-04
5.087437185929647967e+02,1.579533621799185994e+00,4.064857013164109188e-04
5.108542713567838973e+02,1.579173571875270632e+00,4.097476796129844519e-04
5.129648241206029979e+02,1.578846362767333478e+00,4.127586478786471010e-04
5.150753768844220986e+02,1.578519319883794569e+00,4.155240565175497697e-04
5.171859296482411992e+02,1.578192430909847843e+00,4.180365580328160215e-04
5.192964824120602998e+02,1.577865683190909030e+00,4.202894349632617117e-04
5.214070351758794004e+02,1.577565796218008076e+00,4.222680841861319728e-04
5.235175879396985010e+02,1.577279390222995126e+00,4.239713120961409063e-04
5.256281407035176017e+02,1.576993085423466834e+00,4.253987004862575493e-04
5.277386934673367023e+02,1.576706868118678662e+00,4.265462929291875035e-04
5.298492462311558029e+02,1.576420724442966215e+00,4.274108619656346946e-04
5.319597989949747898e+02,1.576093487426405426e+00,4.279991013721012308e-04
5.340703517587940041e+02,1.575763130765767572e+00,4.283008211822982698e-04
5.361809045226129911e+02,1.575432805987720508e+00,4.283143113795724144e-04
5.382914572864322054e+02,1.575102498998080414e+00,4.280393249369486173e-04
5.404020100502511923e+02,1.574781441185075792e+00,4.274742723547795241e-04
5.425125628140704066e+02,1.574499665979881335e+00,4.266136209713679165e-04
5.446231155778893935e+02,1.574217866329146620e+00,4.254683434478341640e-04
5.467336683417084942e+02,1.573936028629536521e+00,4.240412104973827092e-04
5.488442211055275948e+02,1.573654139513924077e+00,4.223357133151825027e-04
5.509547738693466954e+02,1.573370276558399450e+00,4.203613279822692827e-04
